,Category,Skills,Degree,Institution
572,BUSINESS-DEVELOPMENT,"[' Public Relation', '', ' enthuiatic people peron', ' advanced problem-olving', ' great organizational kill  Careful and active litener   Profeional and friendly', '   mulch-taking  client Relation', 'computer Proficiency', 'Data Collection', ' Data Entry', ' Documentation', ' Email', ' Executive Management Support', ' Filing', 'and great telephone kill']","['NA', ' High School Diploma']","[' Carree College of America', ' Thoma Jefferon High School']"
573,BUSINESS-DEVELOPMENT,['  Careful and active litener  Self - Starter  elf-motivated  Hungry for growth and continuou learning  Proactive and energetic   '],[' Bachelor of Art'],[' Univerity of California Santa Cruz']
574,BUSINESS-DEVELOPMENT,"['  Banking Credit Deciion', ' Credit Evaluation', ' Advertiing', ' Buine Development', ' Buyer', ' Buyingprocurement', ' Sale Call', ' Exception', ' Internet Advertiing', ' Lead', ' Marketing', ' Problem Solving', ' Filing', ' Incoming Call', ' Accounting', '  Billing', ' Clerk', ' Invoice', ' Payment', ' Skip Tracer', ' Bankruptcy', ' Mortgage Loan  Sale Account Management Buine Development', ' Team Building', ' Marketing Plan', ' Territory Management', ' Staff Management and training ']","[' Accounting Buine Certificate', ' Certificate']","[' Cypre Community College', ' XXXX Seminar']"
575,BUSINESS-DEVELOPMENT,['  National Golden Key Honor Society '],[' Bachelor of Science'],[' Univerity of Maryland']
576,BUSINESS-DEVELOPMENT,"['   Kana Notary Public   Auguta Chamber of Commerce', ' Board Member   Saint Franci Community Service Foter Parent  Nationwide Mortgage Licening Sytem NMLS - Previouly Regitered   ']","[' Bachelor of Science', 'NA', 'NA']","[' NorthWetern Oklahoma State Univerity', ' Leader Effectivene Training', ' School of Banking']"
577,BUSINESS-DEVELOPMENT,['   Key deciion making  Team leaderhip  Marketing  Verbal and written communication  Strategic planning  Excellent at Networking  Relationhip building and management    Conflict reolution  Goal and performance  New buine development  Territory management  Account management  Product and ervice ale  '],"[' Certified Profeional Coach', ' Bachelor of Science']","[' Intitute of Profeional Excellence in Coaching', ' UNIVERSITY OF TULSA']"
578,BUSINESS-DEVELOPMENT,"['   ACTIVITIESAitant Coach', ' Cherokee Youth Lacroe', ' 2013Member', ' Sigma Alpha Epilon Fraternity', ' 2009Morehead State Univerity', ' Football Team', ' 2008  ']","[' Bachelor', ' PhD']","[' KENNESAW STATE UNIVERSITY Cole College of Buine', ' KENNESAW STATE UNIVERSITY Cole College of Buine']"
579,BUSINESS-DEVELOPMENT,"[' Accounting', ' Account Payable', ' buine development', ' buineplan', ' cloing', ' coldcalling', ' com', ' credit', ' CRM', ' client', ' Finance', ' financial', ' Legal', ' logitic', ' managing', ' network', ' networking', ' profit', ' relationhip building', ' retail', ' ale', ' Selling', ' Strategic', ' phone', ' TV', ' webite']","[' Aociate of Art', ' Bachelor of Science']","[' Enterprie State Junior College', ' Troy Univerity']"
580,BUSINESS-DEVELOPMENT,"[' Dreamweaver', ' Adobe Photohop', ' balance heet', ' baic', ' budget', ' C', ' C', ' chemitry', ' contract', ' Cot control', ' credit', ' client', ' deciion making', ' delivery', ' filing', ' Macromedia Flah', ' forecating', ' functional', ' gro profit', ' HTML', ' leaderhip', ' leaderhip kill', ' Letter', ' logitic', ' Managing', ' manufacturing          procee', ' marketing', ' market', ' market development', ' MS Office Suite', ' win', ' 2000', ' negotiating', ' negotiator', ' policie', ' preentation', ' pricing trategie', ' profit', ' Programming', ' Project planning and development', ' Publication', ' quality', ' quality aurance', ' recruiting', ' reearching', ' Reearch', ' Sale', ' Self-tarter', ' trategy', ' Strategicourcing', ' Supply chain', ' tax', ' tax return', ' teaching']","[' Mater of Science', ' Reearch Project Mild and convenient way to prepare N-alkyl tacrine June 2008 - May 2010']","[' Bachelor of Technology', 'NA']"
581,BUSINESS-DEVELOPMENT,"[' adminitrative dutie', ' Ad', ' Ad', ' approach', ' B2B', ' Budget Planning', ' budget', ' buine development', ' competitive', ' content', ' Content Management', ' CRM', ' client', ' client', ' cutomer ervice', ' cutomer upport', ' deigning', ' e-commerce', ' E-mail', ' email', ' Google Analytic', ' HTML', ' Image', ' note', ' managerial', ' managing', ' Marketing Strategy', ' marketing', ' market', ' marketing collateral', ' material', ' Medical Sale', ' meeting', ' mentor', ' 97', ' mortgage loan', ' online marketing', ' procee', ' Project Management', ' quality', ' recruitment', ' relationhip management', ' elling', ' ale', ' trategic', ' trade how', ' Web Development', ' webite']","[' Full Sail Univerity', ' Univerity of Phoenix', 'NA', 'NA', 'NA']","[' Mater of Science', ' Bachelor of Science', ' Accredited in Medical Sale - HIDA - January 2010-January 2013Digital Marketing - Shaw Academy -', ' Blogging and Content Management - Shaw Academy -', ' Web Development - Shaw Academy -']"
582,BUSINESS-DEVELOPMENT,"[' ad', ' AGENCY', ' benefit', ' billing', ' brand identity', ' budget', ' buine development', ' cold-calling', ' com', ' conulting', ' content', ' client', ' client', ' Dell', ' email', ' GEMS', ' inventory', ' marketing', ' market', ' marketing material', ' merchandiing', ' Acce', ' Excel', ' Outlook', ' PowerPoint', ' Publiher', ' Word', ' need analyi', ' negotiation', ' NETWORK', ' networking', ' Oil', ' organizational', ' Platinum', ' preentation', ' pricing', ' reearching', ' RETAIL', ' retail ale', ' Sale', ' tatitic', ' trategy', ' TEACHING', ' unique', ' web content']",[' BACHELOR OF ARTS'],"["" SAINT MARY'S UNIVERSITY""]"
583,BUSINESS-DEVELOPMENT,"[' acquiition', ' Adobe Photohop', ' advertiing', ' approach', ' Automobile', ' Baic', ' Brochure', ' budget', ' chart', ' cloing', ' color', ' concept', ' conference', ' Corel Draw', ' client', ' client', ' Cutomer ervice', ' Databae', ' Deciion Making', ' delivery', ' deigning', ' Editing', ' ERP', ' Senior Management', ' financial', ' functional', ' graph', ' hand tool', ' HP', ' Internet Explorer', ' Team Building', ' Linux', ' Machine Tool', ' Mac OS', ' market reearch', ' marketing', ' market', ' MS Acce', ' Excel', ' MS Office', ' Outlook', ' Outlook Expre', ' PowerPoint', ' PP', ' 2000', ' Window 95', ' 98', ' Word', ' Microoft Word', ' MIS', ' MS DOS', ' Multi-taking', ' Negotiating', ' networking', ' next', ' NT erver', ' Operating Sytem', ' Oracle', ' order management', ' poitioning', ' power tool', ' Preentation', ' pricing trategy', ' Problem-Solving', ' development of product', ' Product Development', ' marketing and product', ' Programming', ' Project Management', ' Python', ' quality', ' QuickBook', ' Reearch', ' elling', ' Sale', ' ale development', ' SAP Material Management', ' SAP MM', ' SAP', ' SAP PP', ' SAP R3', ' trategy', ' Strategic', ' Strategic analyi', ' team player', ' Time management', ' trade how', ' Vita', ' welding']","[' Mater of Buine Adminitration MBA', ' Bachelor of Buine Adminitration BBA', ' CERTIFICATIONS and TRAINING  Training - SAP Production and Planning PP  SAP Material Management MM  Certificate - Introduction to Python Programming from Udemy  Certificate - Introduction to Python for Data Science from Udemy']","[' Univerity of Pune', ' Univerity of Gujarat', 'NA']"
584,BUSINESS-DEVELOPMENT,"['  Client Relation', ' Buine Development', ' Sale', ' Propoal Preperation', ' CRM planning and management', ' Cold Calling', ' Networking', ' Budget Preparation', ' Contract Negotiation', '\xa0Executive management', ' Financial Analyi', ' Marketing Tranportation Route Planning and Analyi ']",[' Bachelor of Science'],[' Eat Central Univerity']
585,BUSINESS-DEVELOPMENT,['   Cutomer Relationhip Management CRM oftware Saleforce  Office 365  Healthcare GPO  Government and Education Conortium  '],[' Bachelor of Science'],[' Kana State Univerity']
586,BUSINESS-DEVELOPMENT,"[' Army', ' banking', ' buine development', ' client', ' international ale', ' inventory management', ' inventory level', ' inventory', ' Latin', ' logitic', ' Director', ' market analyi', ' market trend', ' marketing', ' Market', ' Marketing and Sale', ' material', ' network', ' pricing', ' pricing trategy', ' Product Development', ' retail', ' ale', ' Sale Analyi  Forecating', ' tatitic', ' trategy', ' tranlation', 'NA']",[' BS degree'],[' Southern Illinoi Univerity of Edwardville']
587,BUSINESS-DEVELOPMENT,"[' Army', ' banking', ' buine development', ' client', ' international ale', ' inventory management', ' inventory level', ' inventory', ' Latin', ' logitic', ' Director', ' market analyi', ' market trend', ' marketing', ' Market', ' Marketing and Sale', ' material', ' network', ' pricing', ' pricing trategy', ' Product Development', ' retail', ' ale', ' Sale Analyi  Forecating', ' tatitic', ' trategy', ' tranlation', 'NA']","['NA', 'NA']","[' Kumai Polytechnic', ' SUNYANI POLYTECHNIC ']"
588,BUSINESS-DEVELOPMENT,['    Microoft Office Suite    Viio  SharePoint  Zendek  '],[' BBA'],[' Jame Madion Univerity']
589,BUSINESS-DEVELOPMENT,"[""   Texa Veteran Commiion     HoutonEat End Chamber of Commerce  – Ambaador – January 2015 – preent   Camara de Empreario Latino deHouton  – Member – Augut 2015 – preent   Governor' Small Buine Forum  - Committee Member - September 2015   Houton Hipanic Chamber ofCommerce  -\xa0 Volunteer – October 2015 - preent ""]","[' MBA', ' Bachelor of Art', ' Teaching Certificate with Reading Endorement']","[' Univerity of Houton', ' Univerity of Texa', 'NA']"
590,BUSINESS-DEVELOPMENT,[' '],"["" Mater' Certificate"", ' Mater of Buine Adminitration', ' Bachelor of Art']","[' The George Wahington Univerity', ' Brigham Young Univerity', ' Univerity of California']"
591,BUSINESS-DEVELOPMENT,"[' Benefit adminitrator', ' benefit', ' benefit adminitration', ' call center', ' client', ' cutomer atifaction', ' Cutomer Service', ' documentation', ' fahion', ' human reource', ' HR', ' IBM', ' inurance', ' inventory', ' Invetment I', ' acce', ' Excel', ' Outlook', ' Word', ' Peronnel', ' pick', ' policie', ' peaking', ' quality aurance', ' reearch', ' cript', ' phone']",[' Aociate of Science'],[' Louiburg College']
592,BUSINESS-DEVELOPMENT,"[' banking', ' C', ' cloing', ' hardware', ' Conulting', ' contract', ' Cutomer Relationhip Management', ' CRM', ' client', ' Client', ' e-mail', ' energy aving', ' focu', ' form', ' functional', ' inurance', ' managing', ' marketing', ' market', ' Microoft Office Suite', ' office', ' Outlook', ' network', ' new buine development', ' newletter', ' propoal', ' Selling', ' Sale', ' Saleforcecom CRM', ' Six Sigma', ' utilitie']",[' BS'],[' Univerity of Kentucky']
593,BUSINESS-DEVELOPMENT,"['  budget', ' buine development', ' Call Center', ' coaching', ' communication kill', ' conultant', ' credit', ' Cutomer Service', ' deciion making', ' direction', ' documentation', ' Equity', ' enior management', ' external audit', ' Financial', ' fund', ' Government', ' hiring', ' human reource', ' Leaderhip', ' law', ' Legal', ' managing', ' mediation', ' meeting', ' Office', ' operation management', ' performance review', ' Pick', ' policie', ' Project management', ' quality', ' quality control', ' recording', ' Relationhip management', ' ecuritie', ' cripting', ' trategy', ' trategic', ' phone', ' Underwriting', ' Vendor management', ' webite ']",[' BACHELOR OF ARTS'],[' Univerity of Pheonix']
594,BUSINESS-DEVELOPMENT,"['  Adminitrative upport', ' cheduling appointment', ' benefit', ' billing', ' conference', ' Contract adminitration', ' data bae', ' documentation', ' filing', ' form', ' home care', ' home health', ' Human Reource', ' HR', ' inurance', ' maintaining inventory', ' leaderhip', ' Director', ' Management Skill', ' market', ' SharePoint', ' Internet Reearch', ' patient afety', ' peronnel', ' policie', ' preentation', ' pricing', ' public relation', ' purchaing', ' quality', ' reearch', ' cheduling', ' taffing', ' phone', ' tranportation', ' travel arrangement ']","[' Bachelor of Science', ' Select  One']","[' Keier Univerity', 'NA']"
595,BUSINESS-DEVELOPMENT,"['  Buine Development', ' Complex Sale Strategy', ' Public Policy', ' Enterprie Software', ' Software a a Service SaaS', ' Infratructure a a Service IaaS', ' Technical Analyi', ' Financial Analyi', ' Budget', ' Public Sector', ' Telecommunication', ' Sale Reporting', ' Public Speaking', ' Public Preentation ', 'NA', 'NA']",[' Bachelor of Buine Adminitration BBA'],[' Auguta State Univerity Hull College of Buine']
596,BUSINESS-DEVELOPMENT,"['  Buine Development', ' Complex Sale Strategy', ' Public Policy', ' Enterprie Software', ' Software a a Service SaaS', ' Infratructure a a Service IaaS', ' Technical Analyi', ' Financial Analyi', ' Budget', ' Public Sector', ' Telecommunication', ' Sale Reporting', ' Public Speaking', ' Public Preentation ', 'NA', 'NA']","[' certificate', ' Bachelor of Applied Art']","[' Univerity of California ', ' Central Michigan Univerity']"
597,BUSINESS-DEVELOPMENT,"['  Buine Development', ' Complex Sale Strategy', ' Public Policy', ' Enterprie Software', ' Software a a Service SaaS', ' Infratructure a a Service IaaS', ' Technical Analyi', ' Financial Analyi', ' Budget', ' Public Sector', ' Telecommunication', ' Sale Reporting', ' Public Speaking', ' Public Preentation ', 'NA', 'NA']","[' Mater of Buine Adminitration', ' Bachelor of Science', 'NA']","[' Wetern Governor Univerity', ' Univerity of Phoenix', ' Oklahoma Baptit Univerity']"
598,BUSINESS-DEVELOPMENT,"[' account management', ' ADP', ' Buine Law', ' Cae Management', ' Corporate Finance', ' Counelor', ' Crii Intervention', ' client relation', ' Deciion Making', ' Dimenion', ' Direct ale', ' Documentation', ' E-Buine', ' Financial', ' Human Reource Management', ' Human Relation', ' International buine', ' International Marketing', ' leaderhip kill', ' Managerial', ' marketing', ' Market', ' Marketing Management', ' negotiator', ' communicator', ' optimization', ' Organizational', ' Payroll', ' PC', ' problem olving', ' protocol', ' Pychology', ' Reearch', ' ale', ' ale training', ' Strategic', ' trategic marketing', ' Technician', ' telecommunication', ' trainer']","[' PhD', ' MBA', ' Bachelor of Science', ' Prerequiite for State Certification Addiction Studie', ' Palo Verde Junior College', ' United State Navy']","[' California Coat Univerity', ' California Coat Univerity', ' California Coat Univerity', ' Cae Management and Documentation Addiction StudieHopital CorpmanPychiatric Technician', ' Hopital Corpman School EMT-II Pych Technician Crii InterventionCertified Subtance Abue Counelor All College Trancript are available upon requet', 'NA']"
599,BUSINESS-DEVELOPMENT,"[' agency', ' benefit', ' brochure', ' budget', ' buine development', ' buine plan', ' coach', ' contract', ' Client Relation', ' financial', ' Home Health', ' Homecare', ' Hopice', ' leaderhip', ' note', ' Director', ' market analyi', ' marketing plan', ' marketing', ' market', ' Nuring', ' rapport', ' Sale', ' ale training', ' trategic', ' written']",[' Bachelor of Science'],[' California State Univerity of Bakerfield']
600,BUSINESS-DEVELOPMENT,"[' Adobe Creative Suite', ' Adobe Acrobat', ' Photohop', ' advertiing', ' API', ' benefit', ' Branding', ' buine development', ' competitive', ' Competitive Analyi', ' Content Development', ' creativity', ' CRM', ' Client Support', ' data management', ' Illutrator', ' InDeign', ' DIRECTOR', ' marketing plan', ' Market Reearch', ' Marketing Strategie', ' marketing trategit', ' marketing', ' market', ' Media Relation', ' meaging', ' Microoft Dynamic', ' MS Outlook', ' work', ' communicator', ' organizational kill', ' outide ale', ' Poitioning', ' preenter', ' problem-olver', ' procee', ' purchaing', ' quality control', ' Fat learner', ' Real Etate', ' reporting', ' reearch', ' Sale', ' oftware development', ' trategy', ' trategic', ' technical ale', ' trainer', ' Training Material', ' viion', ' writer', 'NA']",[' Bachelor of Science'],[' Texa AM Univerity']
601,BUSINESS-DEVELOPMENT,"[' Adobe Creative Suite', ' Adobe Acrobat', ' Photohop', ' advertiing', ' API', ' benefit', ' Branding', ' buine development', ' competitive', ' Competitive Analyi', ' Content Development', ' creativity', ' CRM', ' Client Support', ' data management', ' Illutrator', ' InDeign', ' DIRECTOR', ' marketing plan', ' Market Reearch', ' Marketing Strategie', ' marketing trategit', ' marketing', ' market', ' Media Relation', ' meaging', ' Microoft Dynamic', ' MS Outlook', ' work', ' communicator', ' organizational kill', ' outide ale', ' Poitioning', ' preenter', ' problem-olver', ' procee', ' purchaing', ' quality control', ' Fat learner', ' Real Etate', ' reporting', ' reearch', ' Sale', ' oftware development', ' trategy', ' trategic', ' technical ale', ' trainer', ' Training Material', ' viion', ' writer', 'NA']","[' Bachelor of Fire Science', ' Cutomer Relation Coure OSHA Safety Coure HAZMAT Material Operation Airfield pavement and aement certification Coure Fire Officer I II III Fire Intructor I II III Fire Inpector I II Fire Invetigator I Fire Fighter I II III Airport Firefighter Emergency Vehicle Operator Coure Amphibiou Warfare School Nonreident Program Advance EAF School M-31 Arreting Gear Sytem Coure Marine Corp Aircraft Launch and Recovery School Aircraft Firefighting School Warrant Officer Baic School Staff Non Commiioned Officer Coure Sergeant Coure Total Quality Leaderhip Hazardou Wate Coordinator Coure RCRA Hazardou Material and Hazardou Wate Management Coure Suicide Prevention Coure Minimum Operating Strip Lighting Sytem Coure Lean Six Sigma White Belt Coure']","[' Thoma Edion State College', 'NA']"
602,BUSINESS-DEVELOPMENT,['  Leaderhip Development  Project Management  Budgeting  Employee Management  Operation Management  Buine Management '],"[' Mater of Public Adminitration', ' BA', ' High School Diploma']","[' Texa Tech Univerity Lubbock', ' Texa Tech Univerity Lubbock', ' Denion High School']"
603,BUSINESS-DEVELOPMENT,"[' Marketing', ' Sale', ' Budget', ' Promotional', ' And Marketing', ' Sale And', ' Aviation', ' Cla', ' Comprehenive Large Array Data Stewardhip Sytem', ' Excellent Multitaker', ' Simultaneou', ' Teaching', ' Training', ' Account And', ' Advertiing', ' Branding', ' Community Outreach', ' From Sale', ' It', ' Managed Sale', ' Of Sale', ' Public Relation', ' Increae', ' Adminitrative Support', ' Audit', ' Budgeting', ' Cot Control', ' Executive Aitant', ' For Selling', ' Ordering', ' Relationhip Management', ' Scheduling', ' Selling And', ' Accountable For', ' Buine Development', ' Client', ' Forecating', ' Implemented Sale', ' Key Account', ' Maintenance', ' Market Trend', ' Networking', ' Sale And', ' Sale Forecating', ' Sale Objective', ' Sale Strategie', ' Strategic Planning', ' The Sale', ' The Sale', ' Direct Marketing', ' Marketing Plan', ' Overall Sale', ' Project Development', ' Sale Plan', ' Energetic', ' Fundraiing', ' Highly Organized', ' Mac', ' Quicken', ' San', ' Self Motivated', ' Storage Area Network', ' Very Organized', ' Finance', ' Shipping']","[' MSc', ' BA']","[' CITY UNIVERSITY BUSINESS SCHOOL', ' THE UNIVERSITY OF HULL']"
604,BUSINESS-DEVELOPMENT,"['  •Proficient in the ue of MS-Office Word Excel PowerPoint  •Voyager', ' Shopper 08', ' 09 ', 'Tally  Focu Integrated ERP oftware for Retail Garment Store ']","[' MCA', "" Bachelor'""]","[' KGRL PG College', ' KGRL Degree College ']"
605,BUSINESS-DEVELOPMENT,"['  automation', ' Buine development', ' Buine development', ' Buine Management', ' C', ' SC', ' Economic', ' Engineer', ' Finance', ' inide ale', ' marketing plan', ' marketing', ' market', ' Mathematic', ' organizational', ' Outide Sale', ' packaging', ' preentation', ' Quality', ' Sale', ' Siemen', ' Six Sigma', ' SOP', ' pecification', ' taffing', ' Strategic', ' Supply Chain', ' technical ale', ' Technical upport', ' trouble-hoot ']",[' Bachelor of Science'],[' Clemon Univerity']
606,BUSINESS-DEVELOPMENT,"[' ad', ' advertiing', ' Avid', ' budget', ' Budget', ' buine trategie', ' cable', ' cah flow', ' coach', ' client management', ' content', ' contract', ' SC', ' client', ' client', ' cutomer ervice', ' databae analyi', ' email', ' Financial', ' Invetment', ' market', ' meeting', ' Microoft Excel', ' Power Point', ' Microoft Word', ' network', ' Network', ' new buine development', ' newletter', ' Peronnel', ' producing', ' profit', ' radio', ' Reearch', ' Sale', ' phone', ' televiion', ' video']","[' HOBART COLLEGE', 'NA']","[' Bachelor of Art', 'NA']"
607,BUSINESS-DEVELOPMENT,"[' Marketing', ' Marketing Strategy', ' Buine Development', ' Healthcare', ' Advertiing', ' Buine Plan', ' Client', ' Hp-ux', ' Media Relation', ' Unix', ' Ux', ' Product Development', ' Tranmiion', ' Budget', ' National Account', ' Retructuring', ' Increae', ' Pricing', ' Budget Management', ' Game', ' Greeting', ' Finance', ' Joint Venture', ' Joint Venture', ' Lead Generation', ' New Product', ' Out Of Home', ' Pricing Analyi', ' Sale', ' Sale And', ' Account Through', ' Onboarding', ' Partner Marketing', ' Audience Segmentation', ' Building Deign', ' Building Material', ' Commercial Building', ' Databae', ' Market Segmentation', ' Segmentation']","[' Mater of Science', ' Bachelor of Art', 'NA']","[' Univerity of Tenneee', ' Univerity of Oklahoma', ' Univerity of North Carolina at Chapel Hill']"
608,BUSINESS-DEVELOPMENT,"['  Sale and Marketing Strategy', ' Execution', ' Account Management', ' Buine Development', ' Client Relation', ' Cold Calling', ' Computer Literate', ' Creative Problem Solving', ' CRM Sytem', ' Cutomer Need Aement', ' Cutomer Satifaction', ' Cutomer Service', ' Lead Development', ' Marketing ']","[' Supertar Selling Brian Tracy  Ft Worth Texa 2005How to Build a Complete Sale Peron  Plano Texa 2005Sale Succe Jeffrey Gitmer- Ft Worth Texa 2005CSRE', ' Pychology of Sale Brian Tracy', ' CFNI', ' Aociate of Art']","[' PEERS', ' Beazer Univerity', ' CSRE', ' CFNI']"
609,BUSINESS-DEVELOPMENT,[' '],[' Bachelor of Science'],[' Grambling State Univerity']
610,BUSINESS-DEVELOPMENT,"['  Seaoned Leaderhip', ' Experienced Manager', ' Motivated', ' Balanced ']",[' Bachelor of Art Degree'],[' Stephen F Autin State Univerity']
611,BUSINESS-DEVELOPMENT,"[' Articulate', ' benefit', ' buine plan', ' cloing', ' cold calling', ' competitive', ' Conultant', ' corporate training', ' Client', ' client', ' cutomer atifaction', ' delivery', ' direct mail', ' Document Management', ' facimile', ' feature', ' focu', ' Image', ' inventory', ' Leaderhip', ' managing', ' marketing', ' market', ' meeting', ' acce', ' office', ' 2000', ' need analyi', ' networking', ' new buine development', ' photocopier', ' preentation', ' pricing', ' profit', ' peaker', ' Quality Aurance', ' Sale', ' Sale Training', ' eminar', ' tatitic', ' Team Player', ' telemarketing']","[' Hampton Univerity', ' Ricoh Univerity']","[' Bachelor of Art', ' Image Management Certification Level 1']"
612,BUSINESS-DEVELOPMENT,"[' Member', "" Profeional Women' Forum Committee"", ' Lancater Chamber of Commerce and IndutryMember', ' Fundraiing Committee', "" Kid' Chance of PennylvaniaMember"", ' Leaderhip Team of Central PA MS SocietyExecutive Committee Member', ' Sweat-A-Fit Leaderhip Team']","[' MBA', ' BA']","[' Lebanon Valley College', ' Central Atlantic Intermediate School of Banking Dickinon CollegeIndiana Univerity of Pennylvania']"
613,BUSINESS-DEVELOPMENT,"['   Graduated Magna Cum Laude top 3 of cla at California State Univerity Eat Bay             2009 \xa0   Honor Roll    1996-2009 \xa0   Achievement for ""Excellent Student of the Year""             2003-2004 \xa0   Staff writer for the CSU Eat Bay newpaper ""The Pioneer""             2007-2009 \xa0 ']","[' Bachelor of Art BA', ' Aociate', ' Property and Caualty Licene Licene Number 0G88502']","[' California State Univerity', ' Diablo Valley College California State Univerity', 'NA']"
614,BUSINESS-DEVELOPMENT,['  Networking  Health Care  Patient Evaluation  Medicare Structure  Sale and Marketing  Peronal Communication  Extenive Knowledge of IT  Operation and Management '],"[' Bachelor of Science', ' Aociate of Art', 'NA']","[' Univerity of Houton-Downtown', ' Houton Community College Sytem', ' Galveton College']"
615,BUSINESS-DEVELOPMENT,"['  2010 - 2015 - Board Member', "" Prince George' Chamber of Commerce   2012 - 2015 - Chair - Green Technology and Sutainability Committee\xa0  2012 - Prince George' Chamber - Green Buine Award\xa0  2015 - 2017 - Metropolitan Wahington Council of Government MWCOG - Governmental Affair Outreach \xa0  2014 - 2016 - Congrewoman Donna Edward - Buine Adviory Board 2014-2016-Prince George' County Public School PGCPS Supplier Development Board ""]","[' Bachelor of Art', 'NA', 'NA']","[' Univerity Ditrict of Columbia - School of Buine and Public Adminitration', ' Department of Economic', ' From The Heart Church Minitrie']"
616,BUSINESS-DEVELOPMENT,"[' Advertiing', ' agency', ' baic', ' brand trategy', ' brand development', ' brand marketing', ' buine development', ' content', ' content creation', ' client', ' client', ' deciion making', ' delivery', ' direction', ' email', ' fat', ' Fundraiing', ' Google analytic', ' marketing', ' market', ' acce', ' Excel', ' Powerpoint', ' Microoft Word', ' negotiation', ' PR', ' procurement', ' propoal', ' ale', ' cript', ' trategy', ' trategic', ' unique', ' video']","[' BA', 'NA']","[' Univerity of Arizona', ' Minor Degree']"
617,BUSINESS-DEVELOPMENT,"[' adminitrative', ' adminitrative upport', ' ad', ' advertiing', ' back-up', ' Budget', ' budget', ' Buine Development', ' conflict reolution', ' content', ' Cot Reduction', ' Client', ' client', ' cutomer ervice', ' delivery', ' email', ' form', ' Human Reource', ' image', ' inventory management', ' Inventory', ' leaderhip', ' Managment', ' marketing trategie', ' marketing', ' meeting', ' Excel preadheet', ' excel', ' Microoft Office application', ' office', ' PowerPoint', ' Window 8', ' Window', ' Window XP', ' online marketing', ' earch engine', ' operating ytem', ' peronnel', ' pivot table', ' policie', ' POS', ' preentation', ' PR', ' Problem Solving', ' profit and lo', ' promotional material', ' public relation', ' quality', ' QuickBook', ' receptionit', ' Recruiting', ' Recruitment', ' reporting', ' preadheet', ' trategy', ' telephone', ' anwering phone']","[' Arabia Mountain High School', ' Darton State College']","[' High School Diploma', ' Aociate of Applied Science']"
618,BUSINESS-DEVELOPMENT,"[' banner', ' brochure', ' Developing buine', ' bi', ' contract', ' client', ' client', ' cutomer ervice', ' Englih', ' financial', ' Managing', ' meeting', ' promotional material', ' elling', ' ale', ' ale plan', ' ale report', ' Scheduling 2', ' Sigma', ' Spanih']",[' Bachelor of Buine Adminitration'],[' St Edward´ Univerity']
619,BUSINESS-DEVELOPMENT,"[' agency', ' delivery', ' inurance', ' material', ' policie', ' roofing', ' elling', ' ale']",[' Bachelor of Art'],[' UNIVERSITY OF MINNESOTA DULUTH']
620,BUSINESS-DEVELOPMENT,"[' aited living', ' interperonal and communication', ' inurance', ' internal medicine', ' managing', ' marketing', ' marketingale', ' meeting', ' mentor', ' office', ' networking', ' organizing', ' orthopedic', ' outide ale', ' phyical therapy', ' rehabilitation', ' ale', ' eminar', ' Team player', ' time management']",[' ARIZONA STATE UNIVERSITY'],[' BA']
621,BUSINESS-DEVELOPMENT,"['  IMEX', ' Milford Memorie Planning Board', ' Huron Valley Youth Baeball PreidentTreaurerDirector of Travel Baeball', ' Lakeland Milford Travel Secretary and Milford High School baeball intructor ']",[' Bachelor of Buine Adminitration'],[' Wetern Michigan Univerity']
622,BUSINESS-DEVELOPMENT,"[' Sale', ' Pcb', ' Increae', ' Account Manager', ' New Account', ' Budget', ' Of Sale', ' Sale Staff', ' Budget', ' Circuit Board', ' Printed Circuit', ' Printed Circuit Board', ' Proce Control', ' Procurement', ' Quality Aurance', ' Quality Manager', ' Statitical Proce Control', ' Telecom', ' Account By', ' Aeropace', ' And Marketing', ' Buine Development', ' Buine Plan', ' Cutomer Service', ' Increaing Sale', ' Integration', ' Integrator', ' Market Share', ' Marketing', ' Metric', ' Networking', ' Odm', ' Receptionit', ' Retail Sale', ' Sale To', ' Solution', ' Account And', ' Award', ' Company Sale', ' Regional Sale', ' Sale Award', ' Sale Repreentative', ' Sytem Development', ' Account Management', ' Budgeting', ' Contract Negotiation', ' Crm', ' Cutomer Relationhip Management', ' Finance', ' Financial', ' For Sale', ' Forecating', ' In Sale', ' Inpection', ' Ipc', ' Key Account', ' New Buine Development', ' New Product Introduction', ' Npi', ' Pricing', ' Propoal Development', ' Relationhip Management', ' Sale Organization', ' Sale Related', ' Saleforcecom', ' San', ' Selling And', ' Storage Area Network', ' Strategic Planning', ' Strategy Planning', ' Training']",[' Bachelor of Science'],[' California Univerity']
